Id;Designator;Behuizing;Hoeveelheid;Orientatie;Leverancier en ref
1;IC4;BGA4C35P2X2_64X64X33;1;TCR5RG33A,LF;
2;SD1;1040310811;1;104031-0811;
3;PCSIDE1,KEYBOARDSIDE1;1725672-4-2.54;2;1725672;
4;C1;CAPC3216X180N;1;GRM31CR60J157ME11L;
5;KEYPWR1;SOT95P280X145-5N;1;TPS2041CDBVT;
6;0.1uF5,0.1uF2,0.1uF1;CAPC0603X33N;3;02016D104KAT2A;
7;TX1,RX1,GND1,5V+1;HDRV1W66P0X254_1X1_213X234X813P;4;4-103327-3;
8;IC5;TXB0104RUTR;1;TXB0104RUTR_0;
9;1uF4,1uF1,0.1uF3,1uF5,1uF3,1uF2,0.1uF4;CAPC0603X33N;7;GRM033C80J105ME05D;
11;PS1;SON65P200X200X80-7N;1;LP5912-5.0DRVR;
12;IC3;QFN65P600X600X100-29N-D;1;PIC24FJ64GB002-I_ML;
13;IC2;QFN50P700X700X100-45N-D;1;ATMEGA32U4-MU;
14;22Ohm2,22Ohm1;RESC0603X26N;2;RC0201JR-7D22RL;
15;16Mhz2,16Mhz1;CSTNE16M0VH3C000R0;2;CSTNE16M0VH3C000R0;
16;10uF2,10uF1;CAPC1005X55N;2;GRM155C80J106ME11D;
17;10KOhm1,10KOhm2;RESC0603X26N;2;ERA-1AEB103C;
